RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,1,1,z,z,1,0.872923342802096,1,1,1
,2,1,2,1,1,a,a,1,0.675532607856439,1,3,3
,3,1,3,1,1,z,z,1,0.71450546788401,1,2,2
,4,1,4,2,1,z,z,1,0.685046134021832,1,3,2
,5,1,5,1,1,a,a,1,0.60631079642917,1,2,4
,6,1,6,1,1,z,a,0,0.709522002609447,1,3,4
,7,1,7,2,1,a,a,1,0.764299729256891,1,1,4
,8,1,8,2,1,a,z,0,0.66969694729778,1,2,1
,9,1,9,2,1,a,z,0,0.528125574201113,1,2,2
,10,1,10,1,2,a,z,0,0.516098128748126,1,1,2
,11,1,11,1,1,a,z,0,0.529322516085813,1,1,2
,12,1,12,1,1,z,a,0,1.08022525717388,1,2,3
,13,1,13,2,1,z,z,1,0.571152904216433,1,3,2
,14,1,14,2,1,z,z,1,0.38723004097119,1,1,2
,15,1,15,2,2,z,z,1,0.357496502751019,1,2,2
,16,1,16,2,1,a,a,1,0.722575723368209,1,3,1
,17,1,17,2,1,a,a,1,0.698033863678575,1,1,3
,18,1,18,2,2,z,a,0,0.875258062151261,1,2,3
,19,1,19,1,1,z,z,1,1.06826664722757,1,3,4
,20,1,20,2,2,a,a,1,0.476067135692574,1,3,3
,21,1,21,1,1,z,z,1,1.0664353944303,1,1,2
,22,1,22,1,1,z,z,1,0.789731899800245,1,3,3
,23,1,23,1,1,z,z,1,0.717463689245051,1,2,3
,24,1,24,2,2,a,a,1,0.701973986986559,1,1,4
,25,1,25,1,1,z,z,1,0.960689788946183,1,3,3
,26,1,26,2,1,z,z,1,0.896176100621233,1,1,1
,27,1,27,1,1,z,z,1,0.675691327807726,1,1,4
,28,1,28,2,1,a,a,1,0.478226068400545,1,1,3
,29,1,29,2,1,a,z,0,0.662952202546876,1,3,3
,30,1,30,2,1,a,z,0,0.550621141155716,1,3,1
,31,1,31,2,2,z,a,0,0.621735645370791,1,3,4
,32,1,32,2,1,z,z,1,0.526351210282883,1,2,2
,33,1,33,2,1,z,z,1,0.536517251835903,1,1,1
,34,1,34,2,1,z,z,1,0.586434393189847,1,2,1
,35,1,35,1,2,z,z,1,0.685010294051608,1,1,1
,36,1,36,2,1,a,a,1,0.995513743488118,1,3,4
,37,1,37,1,1,z,z,1,0.59208288937225,1,1,1
,38,1,38,1,1,a,p,0,1.50010666664457,1,2,2
,39,1,39,2,2,z,z,1,1.0204913719499,1,1,2
,40,1,40,1,2,a,a,1,1.24219811777584,1,2,2
,41,1,41,1,1,a,a,1,0.636307161243167,1,1,4
,42,1,42,2,1,a,a,1,0.626431252923794,1,2,4
,43,1,43,1,1,a,a,1,1.20316324889427,1,3,4
,44,1,44,2,2,z,z,1,0.662253038317431,1,2,4
,45,1,45,1,1,a,a,1,0.59554969726014,1,3,3
,46,1,46,1,1,a,z,0,0.622764196217759,1,3,1
,47,1,47,1,1,a,a,1,0.954661275114631,1,2,4
,48,1,48,1,2,a,a,1,0.649621432996355,1,2,4
,49,2,1,2,1,z,z,1,0.412972255871864,1,1,4
,50,2,2,1,1,z,z,1,0.437971502105938,1,1,4
,51,2,3,1,1,z,z,1,0.389111355994828,1,1,2
,52,2,4,1,1,z,z,1,0.290244753006846,1,2,1
,53,2,5,2,1,z,z,1,0.448042539210292,1,3,2
,54,2,6,1,1,z,z,1,0.473441145353718,1,2,3
,55,2,7,2,1,z,z,1,0.504375038755825,1,3,4
,56,2,8,1,1,z,a,0,0.537104913877556,1,3,1
,57,2,9,2,1,a,z,0,0.459420313767623,1,2,1
,58,2,10,1,1,z,z,1,0.522322340315441,1,3,2
,59,2,11,1,1,a,a,1,0.474603953887708,1,3,2
,60,2,12,2,1,a,a,1,0.599101838481147,1,2,2
,61,2,13,2,1,z,p,0,1.50005717331078,1,1,3
,62,2,14,2,1,a,a,1,0.814005812921096,1,3,4
,63,2,15,1,1,a,a,1,0.500145919970237,1,1,4
,64,2,16,2,1,a,a,1,0.57180086846347,1,3,2
,65,2,17,2,1,z,a,0,0.739642954053124,1,2,3
,66,2,18,2,1,a,z,0,0.608243880298687,1,1,1
,67,2,19,1,1,a,a,1,0.654505342710763,1,2,2
,68,2,20,2,1,a,z,0,0.607859880430624,2,1,1
,69,2,21,1,1,a,z,0,0.583039834134979,2,1,4
,70,2,22,1,1,z,z,1,0.559570898592938,1,3,1
,71,2,23,1,2,a,a,1,0.873775538115297,1,2,2
,72,2,24,2,1,z,p,0,1.50000483557233,1,2,3
,73,2,25,2,1,a,a,1,0.641528421983821,1,2,1
,74,2,26,2,1,z,z,1,0.946523321879795,1,1,1
,75,2,27,1,1,a,a,1,0.667361090163467,1,3,1
,76,2,28,2,1,a,a,1,0.638355160626816,2,2,3
,77,2,29,2,1,z,z,1,0.827237595833139,1,1,1
,78,2,30,2,1,z,z,1,0.62791263917461,1,2,1
,79,2,31,1,2,a,p,0,1.50005831109593,1,2,1
,80,2,32,1,1,a,z,0,0.603683668305166,1,3,3
,81,2,33,1,2,a,a,1,0.537405856011901,1,2,4
,82,2,34,2,1,a,a,1,0.558963325427612,2,2,3
,83,2,35,2,1,z,z,1,0.573619605711428,1,1,1
,84,2,36,2,1,z,z,1,0.572443143813871,1,3,2
,85,2,37,1,1,z,z,1,0.585976437752834,1,1,1
,86,2,38,1,1,a,z,0,0.605315241176868,1,3,4
,87,2,39,2,2,a,a,1,0.672330902103567,1,3,1
,88,2,40,1,2,z,z,1,1.4186264409218,1,1,4
,89,2,41,2,1,z,p,0,1.50012600884656,1,1,4
,90,2,42,1,1,a,a,1,0.591578285064315,1,1,3
,91,2,43,2,1,z,z,1,0.637494431983214,1,3,2
,92,2,44,1,1,z,z,1,0.611860874836566,1,2,1
,93,2,45,1,1,z,z,1,0.753649563412182,1,2,1
,94,2,46,1,1,a,a,1,0.616266349126818,1,1,1
,95,2,47,1,1,a,z,0,0.729808005737141,1,3,4
,96,2,48,2,1,z,z,1,0.926512092002667,1,3,3
,97,3,1,1,1,z,z,1,0.666337090457091,1,1,3
,98,3,2,1,1,z,z,1,0.803017727128463,1,1,2
,99,3,3,1,2,z,z,1,0.394144314544974,1,2,4
,100,3,4,2,1,a,a,1,0.622467805165797,1,2,2
,101,3,5,1,1,a,a,1,0.535001163400011,1,2,3
,102,3,6,2,1,z,z,1,0.629789403086761,2,1,2
,103,3,7,1,2,a,a,1,0.513375427311985,1,3,1
,104,3,8,2,1,a,a,1,0.785429394367384,1,3,3
,105,3,9,1,1,a,a,1,0.605067205673549,1,1,2
,106,3,10,2,1,a,a,1,0.383355908707017,1,1,4
,107,3,11,2,1,z,z,1,0.93425125424983,1,1,4
,108,3,12,2,1,z,z,1,1.13413713520276,1,3,3
,109,3,13,1,2,z,a,0,0.746875805343734,2,3,4
,110,3,14,1,1,a,z,0,0.835951833316358,1,2,4
,111,3,15,2,1,z,a,0,0.738769709860208,1,1,2
,112,3,16,1,1,z,z,1,0.951636493758997,1,2,1
,113,3,17,2,1,z,z,1,1.15389236510964,1,3,1
,114,3,18,1,1,a,a,1,0.52941808939795,1,3,3
,115,3,19,2,1,z,a,0,0.671767133375397,1,2,3
,116,3,20,2,1,a,a,1,0.464468632329954,1,2,2
,117,3,21,1,2,z,z,1,0.572746930440189,1,3,4
,118,3,22,2,2,a,a,1,0.826165240578121,1,3,1
,119,3,23,2,1,a,z,0,1.42100894689793,1,2,1
,120,3,24,1,1,z,z,1,0.708766518393531,1,1,3
,121,3,25,2,1,z,z,1,0.97965824577841,2,3,3
,122,3,26,2,1,z,a,0,0.667359383514849,1,1,2
,123,3,27,1,2,a,a,1,0.975531526957639,1,1,1
,124,3,28,2,1,z,z,1,0.649777308513876,1,3,2
,125,3,29,1,1,a,a,1,0.507201846834505,1,2,2
,126,3,30,1,1,a,a,1,0.891299586452078,1,2,2
,127,3,31,2,2,z,a,0,0.789417304360541,2,3,3
,128,3,32,1,2,a,a,1,0.626794203941245,1,1,1
,129,3,33,1,1,z,a,0,0.745289174665231,1,3,3
,130,3,34,1,1,z,z,1,0.55105804768391,1,3,2
,131,3,35,1,1,z,z,1,0.503935856657336,1,1,3
,132,3,36,2,1,z,z,1,0.605060378991766,1,2,4
,133,3,37,2,1,z,z,1,0.422122262156336,1,2,4
,134,3,38,1,1,a,a,1,0.640547088929452,1,2,4
,135,3,39,2,1,z,a,0,0.592610818101093,1,2,3
,136,3,40,1,2,z,a,0,0.537309713836294,1,2,3
,137,3,41,2,2,a,a,1,0.654906978161307,1,1,1
,138,3,42,2,1,a,a,1,0.469004951039096,1,1,2
,139,3,43,1,2,z,a,0,0.510885401337873,1,3,3
,140,3,44,2,2,z,a,0,0.595171386259608,1,3,2
,141,3,45,1,2,z,z,1,0.863499132159632,1,1,4
,142,3,46,1,1,z,z,1,0.733951222326141,1,3,3
,143,3,47,2,1,z,z,1,0.617742615402676,1,1,1
,144,3,48,2,1,z,z,1,0.691309598914813,1,2,1
,145,4,1,1,1,z,z,1,0.62168558317353,1,2,1
,146,4,2,1,1,z,z,1,0.543555543175898,1,3,3
,147,4,3,2,1,a,a,1,0.476741268823389,1,1,2
,148,4,4,1,2,z,z,1,0.745742010127287,1,3,1
,149,4,5,2,1,a,a,1,0.458584047330078,1,2,4
,150,4,6,1,1,a,a,1,0.513598431687569,1,3,1
,151,4,7,2,2,z,z,1,0.821903126226971,1,2,3
,152,4,8,1,2,a,a,1,0.935541493905475,1,2,1
,153,4,9,1,1,a,a,1,0.493461477424717,1,2,3
,154,4,10,2,2,z,z,1,0.535735598707106,1,3,4
,155,4,11,2,1,z,z,1,0.540879490581574,1,3,4
,156,4,12,2,2,a,a,1,0.545408982638037,1,3,1
,157,4,13,1,1,a,a,1,0.486085835058475,1,2,3
,158,4,14,2,2,z,z,1,0.510691979172407,1,1,4
,159,4,15,1,1,z,z,1,0.686133849259932,1,1,3
,160,4,16,1,2,a,z,0,0.60600075207185,1,1,1
,161,4,17,1,1,z,z,1,0.646420296106953,1,1,3
,162,4,18,1,1,z,z,1,1.243937779509,2,3,4
,163,4,19,2,1,a,a,1,0.634697775007226,1,2,1
,164,4,20,1,1,a,a,1,0.565140319260536,1,1,4
,165,4,21,2,1,a,a,1,0.649592419649707,1,2,4
,166,4,22,2,2,z,a,0,0.605051845661364,2,1,3
,167,4,23,2,2,z,a,0,0.579695337335579,1,1,3
,168,4,24,2,1,z,z,1,0.67609694544808,1,3,2
,169,4,25,1,1,a,a,1,1.324055516714,1,3,4
,170,4,26,2,1,a,a,1,0.560721191606717,1,1,4
,171,4,27,1,2,a,a,1,0.511157899047248,1,1,3
,172,4,28,1,1,z,z,1,0.520419407519512,1,1,2
,173,4,29,1,2,z,z,1,0.623154453875031,1,3,1
,174,4,30,1,1,a,a,1,0.488115061161807,1,2,2
,175,4,31,2,1,z,a,0,0.6894749327912,1,1,1
,176,4,32,1,1,a,a,1,0.592002676043194,1,1,2
,177,4,33,1,1,z,z,1,0.539084077783627,2,3,4
,178,4,34,1,1,z,z,1,0.628707945608767,1,2,2
,179,4,35,2,2,z,z,1,0.723652629705612,1,2,3
,180,4,36,1,1,a,a,1,1.47296441657818,1,2,2
,181,4,37,2,2,z,z,1,0.890969062136719,1,1,1
,182,4,38,2,1,z,a,0,0.643988865718711,1,3,2
,183,4,39,2,2,z,z,1,0.411931189504685,1,2,4
,184,4,40,2,1,z,z,1,0.416338939365232,1,3,1
,185,4,41,2,2,z,z,1,0.443274682795163,1,3,1
,186,4,42,2,2,z,z,1,0.395246820902685,1,1,4
,187,4,43,2,1,z,z,1,0.320400975528173,1,3,3
,188,4,44,1,2,z,z,1,0.4565451501403,1,3,1
,189,4,45,1,2,a,z,0,0.526685716846259,1,1,4
,190,4,46,2,1,a,a,1,0.503215643548174,1,2,1
,191,4,47,1,1,z,z,1,0.609373693354428,1,2,2
,192,4,48,2,1,z,z,1,0.787576380418614,1,2,3
,193,5,1,2,1,z,z,1,0.598863474093378,1,3,4
,194,5,2,2,1,z,z,1,0.431797921628458,1,2,3
,195,5,3,1,2,a,a,1,0.454401008522836,1,2,3
,196,5,4,1,1,z,a,0,0.577501702413429,1,1,3
,197,5,5,1,2,z,a,0,0.448354859137908,2,3,3
,198,5,6,1,2,z,z,1,0.361232963943621,1,3,2
,199,5,7,2,1,z,z,1,0.335363886813866,1,3,3
,200,5,8,1,1,z,z,1,0.467957626882708,1,1,4
,201,5,9,2,2,a,a,1,0.528730871825246,1,2,1
,202,5,10,2,1,a,z,0,0.666899721400114,1,3,4
,203,5,11,2,2,a,a,1,0.536549109616317,1,2,3
,204,5,12,1,1,z,z,1,0.467547458130866,1,1,2
,205,5,13,1,2,a,a,1,0.604753179097315,1,2,3
,206,5,14,1,1,z,a,0,0.477155419852352,1,3,4
,207,5,15,2,1,a,z,0,0.494300588296028,1,1,1
,208,5,16,2,1,z,a,0,0.778581111895619,1,3,3
,209,5,17,2,1,z,z,1,0.46915001765592,1,1,2
,210,5,18,2,2,z,z,1,0.586747281980934,2,1,1
,211,5,19,2,1,z,z,1,0.723942762968363,2,2,1
,212,5,20,1,1,z,z,1,0.480856041016523,1,2,2
,213,5,21,1,2,a,a,1,0.630026629689382,1,1,1
,214,5,22,2,1,a,z,0,0.54930530153797,1,1,3
,215,5,23,1,1,z,a,0,0.956523247907171,1,3,2
,216,5,24,1,1,z,z,1,0.631163838261273,1,2,1
,217,5,25,1,1,z,a,0,0.924052217160352,1,1,1
,218,5,26,1,1,z,p,0,1.50018289772561,1,3,1
,219,5,27,2,2,z,a,0,0.581099354691105,2,1,4
,220,5,28,1,1,z,z,1,1.04592411138583,1,2,4
,221,5,29,1,1,z,z,1,1.16147223851294,1,2,3
,222,5,30,1,1,a,a,1,0.399647744081449,1,1,2
,223,5,31,2,1,z,z,1,0.55285289164749,1,2,2
,224,5,32,2,1,a,a,1,0.644820581015665,1,2,1
,225,5,33,2,1,a,a,1,0.57121718864073,1,1,2
,226,5,34,1,1,a,a,1,0.393864990182919,1,1,2
,227,5,35,2,1,z,a,0,1.08410792273935,1,3,2
,228,5,36,2,1,a,a,1,0.764230893750209,1,2,3
,229,5,37,1,1,z,z,1,0.815625439106952,1,2,4
,230,5,38,1,1,z,z,1,0.000376035459339619,1,1,2
,231,5,39,1,1,z,z,1,0.598427705350332,1,3,3
,232,5,40,2,2,z,z,1,0.319758700148668,1,2,4
,233,5,41,2,1,a,a,1,0.507461260101991,1,1,1
,234,5,42,1,1,a,a,1,0.472084345703479,1,2,3
,235,5,43,2,2,z,z,1,0.71778340471792,1,1,1
,236,5,44,1,1,z,z,1,0.432899290201021,1,3,2
,237,5,45,2,1,z,a,0,0.512529489787994,1,3,3
,238,5,46,2,1,z,a,0,0.525987121509388,1,3,4
,239,5,47,2,1,a,z,0,0.466720862779766,2,3,1
,240,5,48,1,1,z,z,1,0.559117494296515,1,3,3
,241,6,1,1,2,a,a,1,0.4970761963923,1,1,2
,242,6,2,2,1,a,a,1,0.572298646118725,2,1,4
,243,6,3,1,1,a,a,1,0.606784680741839,1,2,3
,244,6,4,1,1,a,a,1,0.468408755667042,1,1,1
,245,6,5,2,1,z,z,1,0.647835691284854,1,2,2
,246,6,6,2,1,z,z,1,0.00111729744821787,1,2,2
,247,6,7,2,1,z,z,1,0.234928288729861,1,3,3
,248,6,8,1,1,a,a,1,1.33047030598391,1,3,4
,249,6,9,2,1,z,z,1,0.765938128781272,1,1,3
,250,6,10,1,1,a,a,1,0.722124594612978,1,3,2
,251,6,11,1,1,z,a,0,0.523220615636092,1,1,1
,252,6,12,2,2,a,z,0,0.773756935464917,1,2,1
,253,6,13,2,2,a,a,1,0.610848252923461,1,1,4
,254,6,14,1,1,a,a,1,0.634529383969493,1,2,3
,255,6,15,2,1,a,a,1,0.562753831036389,1,3,3
,256,6,16,1,2,z,z,1,0.531563368800562,1,1,3
,257,6,17,1,1,z,a,0,0.820277811115375,1,3,4
,258,6,18,2,1,a,a,1,0.607320005015936,2,3,1
,259,6,19,2,2,z,z,1,0.469828133034753,1,1,2
,260,6,20,2,1,a,z,0,0.676095238799462,1,3,1
,261,6,21,2,1,z,z,1,0.679767415509559,1,2,1
,262,6,22,1,1,a,a,1,0.426469709782396,1,2,2
,263,6,23,1,2,z,z,1,0.548544128425419,1,2,1
,264,6,24,1,1,a,a,1,0.716982409387128,1,3,1
,265,6,25,2,1,a,a,1,0.59217106711003,1,3,3
,266,6,26,1,1,a,a,1,0.519664492196171,2,2,4
,267,6,27,2,1,a,a,1,0.488665176555514,1,1,4
,268,6,28,2,1,a,z,0,0.543847383087268,1,2,1
,269,6,29,2,2,a,a,1,0.457796705333749,1,3,2
,270,6,30,2,1,z,a,0,0.632824424421415,1,2,1
,271,6,31,1,2,z,a,0,0.748909013636876,1,1,2
,272,6,32,1,1,a,a,1,1.03712738500326,1,3,1
,273,6,33,1,2,a,a,1,0.457969078619499,2,2,3
,274,6,34,2,2,a,a,1,0.472343190078391,1,3,2
,275,6,35,2,1,a,a,1,0.628548656764906,1,1,1
,276,6,36,2,2,z,a,0,0.756265882664593,1,2,1
,277,6,37,2,2,a,z,0,0.547258439881261,1,1,1
,278,6,38,2,1,a,a,1,0.458091958600562,2,1,3
,279,6,39,1,1,a,a,1,0.564431483886437,1,1,2
,280,6,40,1,2,z,z,1,0.513979018258397,1,2,4
,281,6,41,1,2,z,z,1,0.554159060149686,1,3,2
,282,6,42,2,1,a,a,1,0.477342584228609,1,3,1
,283,6,43,2,1,z,z,1,0.87209959194297,1,2,4
,284,6,44,1,1,z,z,1,0.476259420101997,1,3,4
,285,6,45,1,1,a,a,1,0.546674760058522,1,1,1
,286,6,46,1,1,a,a,1,0.62703541276278,2,1,2
,287,6,47,1,2,a,a,1,0.435750560485758,1,3,2
,288,6,48,1,1,z,z,1,0.433622916665627,1,2,1
,289,7,1,2,2,z,z,1,0.359200324484846,1,1,4
,290,7,2,1,1,z,z,1,0.344394995365292,1,3,1
,291,7,3,2,1,z,z,1,0.504338061000453,1,2,3
,292,7,4,2,1,z,z,1,0.626278790732613,1,3,2
,293,7,5,1,1,z,z,1,1.00942762399791,1,2,3
,294,7,6,2,1,a,a,1,0.458958945004269,1,2,4
,295,7,7,2,2,z,z,1,0.753789510054048,1,1,3
,296,7,8,2,1,z,z,1,0.538869606709341,1,1,2
,297,7,9,1,2,a,a,1,0.542856947809923,1,1,1
,298,7,10,1,1,a,a,1,0.515852937736781,1,3,4
,299,7,11,1,1,z,z,1,0.497106347494991,1,1,4
,300,7,12,2,2,z,z,1,0.780561982421204,2,3,3
,301,7,13,1,1,a,a,1,0.440755643532611,1,3,2
,302,7,14,1,1,a,a,1,0.0531205537845381,1,1,1
,303,7,15,1,1,a,a,1,0.969456933118636,1,2,4
,304,7,16,1,1,a,a,1,0.522064633725677,1,2,3
,305,7,17,2,2,a,a,1,0.771506411663722,1,3,4
,306,7,18,2,1,z,z,1,0.558351201179903,1,3,1
,307,7,19,1,1,a,a,1,0.507428833429003,2,1,2
,308,7,20,1,1,z,z,1,1.37448807124747,1,3,4
,309,7,21,1,1,z,a,0,0.594642888638191,1,2,4
,310,7,22,2,1,z,z,1,0.688048728712602,1,1,1
,311,7,23,2,2,z,z,1,0.767439995048335,1,2,2
,312,7,24,2,1,a,a,1,0.474972024909221,1,2,1
,313,7,25,2,1,z,z,1,1.03223437306588,1,3,3
,314,7,26,2,2,z,z,1,0.849968682654435,1,3,4
,315,7,27,1,1,a,a,1,0.831135621352587,2,2,4
,316,7,28,2,2,a,a,1,0.524249166453956,1,2,3
,317,7,29,2,1,a,a,1,0.486829941510223,1,1,2
,318,7,30,1,2,a,a,1,0.558236285665771,1,3,4
,319,7,31,2,1,a,a,1,0.436585120274685,1,1,2
,320,7,32,2,2,z,z,1,0.434625298599713,1,2,2
,321,7,33,1,1,a,a,1,0.549209728196729,1,2,1
,322,7,34,1,1,z,z,1,0.810587929445319,1,1,2
,323,7,35,2,1,z,z,1,0.41405655775452,1,1,4
,324,7,36,1,1,z,z,1,0.440688514645444,1,1,4
,325,7,37,1,2,z,z,1,0.374531875684625,1,3,2
,326,7,38,2,1,z,z,1,0.466388062894111,1,3,4
,327,7,39,2,1,z,z,1,0.357300805015257,1,2,3
,328,7,40,1,1,a,a,1,0.405820755666355,1,2,2
,329,7,41,2,1,a,a,1,0.391759532998549,1,2,4
,330,7,42,1,2,z,z,1,0.472146354586584,1,1,4
,331,7,43,2,1,z,z,1,0.481196805369109,1,1,4
,332,7,44,1,2,z,z,1,0.393188012589235,2,1,4
,333,7,45,2,1,z,z,1,0.405646106839413,2,3,2
,334,7,46,1,2,a,a,1,0.559404214232927,1,3,3
,335,7,47,1,1,z,z,1,0.554073157953098,1,3,1
,336,7,48,1,1,z,z,1,0.544919738342287,2,2,2
,337,8,1,1,1,a,a,1,0.425756323325913,1,3,2
,338,8,2,2,1,a,a,1,0.625925510830712,1,2,1
,339,8,3,2,1,a,z,0,0.491407789115328,1,1,3
,340,8,4,2,2,a,a,1,0.761029756860808,1,1,1
,341,8,5,1,1,a,a,1,0.493006366421469,1,2,1
,342,8,6,1,1,a,a,1,0.379647323134122,1,3,1
,343,8,7,2,2,z,z,1,0.846132097096415,1,2,3
,344,8,8,1,1,a,a,1,0.706020492507378,1,1,3
,345,8,9,2,1,a,a,1,0.482936467073159,2,3,2
,346,8,10,2,1,a,a,1,0.448015801463043,1,2,4
,347,8,11,1,2,z,a,0,0.51603896432789,2,1,1
,348,8,12,1,1,z,z,1,0.538013429177226,1,3,1
,349,8,13,1,2,z,z,1,0.523086357890861,1,2,2
,350,8,14,2,1,z,z,1,0.570825224305736,1,3,4
,351,8,15,1,1,a,a,1,0.487432394700591,1,3,2
,352,8,16,2,2,a,a,1,0.654325004987186,1,1,4
,353,8,17,2,1,z,z,1,0.653963191754883,1,3,3
,354,8,18,1,1,z,p,0,1.50004807111691,1,1,1
,355,8,19,2,1,a,a,1,0.784942425612826,2,2,3
,356,8,20,2,1,z,z,1,0.540613819553982,1,1,4
,357,8,21,1,1,a,a,1,0.668487489863764,1,2,4
,358,8,22,1,1,a,a,1,0.420657373673748,1,2,2
,359,8,23,1,1,z,z,1,0.385241205978673,1,1,1
,360,8,24,2,2,z,z,1,0.581232474651188,1,3,3
,361,8,25,2,1,a,a,1,0.480352574464632,1,1,2
,362,8,26,2,2,a,a,1,0.46943787537748,1,2,4
,363,8,27,1,1,a,a,1,0.80908606320736,1,1,3
,364,8,28,1,1,z,a,0,0.873072391666938,1,2,1
,365,8,29,1,1,a,z,0,0.472987741028192,1,2,3
,366,8,30,2,2,z,z,1,1.17647554090945,1,3,2
,367,8,31,2,1,a,a,1,0.501434452919057,1,1,2
