RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,2,1,z,z,1,1.15818690610467,1,1,3
,2,1,2,2,1,z,z,1,0.292270565754734,1,2,3
,3,1,3,2,1,a,a,1,0.522639211354544,1,1,4
,4,1,4,2,1,z,z,1,0.382635695626959,1,3,2
,5,1,5,2,1,a,a,1,0.452385435753968,1,2,1
,6,1,6,1,1,z,z,1,0.808974560990464,1,1,1
,7,1,7,2,1,z,z,1,0.835483637929428,1,3,3
,8,1,8,2,1,z,z,1,0.840252632100601,2,3,1
,9,1,9,2,1,z,z,1,0.2644098092278,1,1,3
,10,1,10,1,1,z,z,1,0.723310158704408,1,3,1
,11,1,11,2,2,a,a,1,0.571961863985052,1,2,4
,12,1,12,1,1,z,z,1,0.435139574023196,1,1,1
,13,1,13,1,1,a,a,1,1.16420347327949,1,3,4
,14,1,14,1,1,z,z,1,0.612895114580169,1,3,1
,15,1,15,2,1,z,z,1,1.23990322064492,1,1,1
,16,1,16,1,1,z,z,1,0.64768778020516,1,1,3
,17,1,17,1,2,z,z,1,0.655037253687624,1,2,2
,18,1,18,2,2,a,a,1,0.526451334706508,1,2,2
,19,1,19,1,1,a,a,1,0.855058530141832,1,2,1
,20,1,20,1,1,a,a,1,0.461450108763529,1,3,4
,21,1,21,1,2,z,z,1,0.39010975571,1,2,2
,22,1,22,2,1,z,z,1,0.704955532826716,1,3,1
,23,1,23,1,1,z,z,1,0.665492859581718,1,1,4
,24,1,24,1,1,z,z,1,0.797608164255507,1,2,4
,25,1,25,2,1,a,a,1,0.548906510550296,1,3,4
,26,1,26,2,2,a,a,1,0.707802820892539,1,2,4
,27,1,27,1,1,z,z,1,0.400242801726563,1,2,4
,28,1,28,2,1,z,z,1,0.644044047920033,1,2,2
,29,1,29,2,1,a,a,1,0.602580024162307,1,1,1
,30,1,30,1,1,a,a,1,0.711165522166993,1,1,4
,31,1,31,1,1,a,a,1,0.507231429044623,1,3,3
,32,1,32,2,1,z,z,1,0.456848936737515,1,1,4
,33,1,33,1,2,a,a,1,0.444162149215117,1,2,2
,34,1,34,1,2,z,z,1,0.571038557565771,1,1,1
,35,1,35,2,1,a,a,1,0.477708379679825,1,3,3
,36,1,36,1,1,z,z,1,0.39339736365946,1,1,1
,37,1,37,1,1,z,z,1,0.417278743523639,1,2,1
,38,1,38,2,1,a,a,1,0.560997102671536,2,1,3
,39,1,39,1,2,a,a,1,1.08883766361396,1,3,2
,40,1,40,2,2,a,a,1,0.603712112730136,1,1,4
,41,1,41,2,1,a,a,1,0.578871586476453,1,2,3
,42,1,42,1,1,a,a,1,0.60711008508224,1,1,3
,43,1,43,1,1,a,a,1,0.462230624078074,1,2,2
,44,1,44,1,1,a,a,1,0.418284538784064,1,3,4
,45,1,45,2,1,a,a,1,0.589171316853026,1,3,2
,46,1,46,2,1,z,z,1,0.487172412540531,1,2,3
,47,1,47,2,1,a,a,1,0.514519462536555,1,3,3
,48,1,48,1,1,z,z,1,0.565928799042013,1,3,2
,49,2,1,2,2,z,z,1,0.779819582618074,2,2,1
,50,2,2,2,1,z,z,1,0.465705396432895,1,2,2
,51,2,3,1,2,z,z,1,0.493057566403877,1,1,4
,52,2,4,1,1,z,z,1,0.574202147778124,1,1,2
,53,2,5,2,1,a,a,1,0.501079466339434,1,1,2
,54,2,6,2,1,z,z,1,0.732340698363259,1,3,3
,55,2,7,1,2,z,z,1,0.706800438958453,1,1,3
,56,2,8,2,2,a,a,1,0.584843780292431,2,2,3
,57,2,9,2,1,z,z,1,0.507948228827445,1,3,2
,58,2,10,1,1,a,a,1,0.480875952111091,1,3,3
,59,2,11,1,1,z,z,1,0.542221499112202,1,3,4
,60,2,12,2,1,a,a,1,0.702040546981152,1,1,3
,61,2,13,1,1,z,z,1,0.427750278322492,1,3,2
,62,2,14,1,1,a,a,1,0.757403091207379,2,1,2
,63,2,15,1,1,a,a,1,0.452010538079776,1,3,3
,64,2,16,2,2,a,a,1,0.476714531076141,1,3,3
,65,2,17,1,2,a,a,1,0.403475227445597,1,2,1
,66,2,18,2,1,z,z,1,0.450213418604108,2,1,4
,67,2,19,2,1,a,a,1,0.508042095490964,1,3,2
,68,2,20,1,2,z,z,1,0.612778492359212,1,2,2
,69,2,21,2,1,z,z,1,0.53270228402107,1,1,1
,70,2,22,1,1,z,z,1,0.491133584728232,1,2,1
,71,2,23,2,1,z,z,1,0.498976284725359,1,2,4
,72,2,24,1,1,z,z,1,0.506049847172108,1,2,2
,73,2,25,1,1,z,z,1,0.457382554362994,1,2,4
,74,2,26,1,1,a,z,0,0.438733244111063,1,1,1
,75,2,27,2,1,a,a,1,0.607789338246221,1,1,4
,76,2,28,2,1,z,z,1,0.682331965916092,2,3,4
,77,2,29,1,2,a,a,1,0.762769987486536,1,3,4
,78,2,30,2,2,z,z,1,0.516183462081244,1,3,2
,79,2,31,1,1,a,a,1,0.598254194279434,1,1,4
,80,2,32,1,2,z,z,1,0.635787765815621,1,2,4
,81,2,33,2,1,z,z,1,0.691140638955403,1,1,1
,82,2,34,1,1,z,z,1,0.602707455225755,1,3,4
,83,2,35,1,2,a,a,1,0.488113923376659,1,1,2
,84,2,36,2,2,a,a,1,0.662969269207679,1,1,1
,85,2,37,2,2,a,a,1,0.555435646470869,1,2,4
,86,2,38,2,1,z,z,1,0.597379243437899,1,2,4
,87,2,39,1,1,z,z,1,0.569387073599501,1,2,4
,88,2,40,1,1,z,z,1,0.619506170449313,1,3,3
,89,2,41,1,1,a,a,1,0.664167917770101,1,1,3
,90,2,42,2,1,a,a,1,0.630328140716301,2,2,3
,91,2,43,1,1,z,z,1,0.555292855395237,1,3,1
,92,2,44,1,2,z,z,1,0.519274803402368,1,2,4
,93,2,45,2,1,z,z,1,0.532703990698792,1,3,1
,94,2,46,2,2,a,a,1,0.479100450407714,1,1,4
,95,2,47,2,1,a,a,1,0.595046799629927,1,2,2
