RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T
,1,1,1,2,2,a,a,1,0.739075771998614,1,1,1
,2,1,2,1,1,z,a,0,0.809616836369969,1,3,3
,3,1,3,1,2,a,a,1,0.328712439863011,1,1,2
,4,1,4,2,1,a,a,1,0.499620266840793,1,3,3
,5,1,5,2,1,a,a,1,0.361991861485876,1,1,4
,6,1,6,1,1,a,a,1,0.368406650726683,1,1,4
,7,1,7,2,2,a,a,1,0.353376610553823,1,2,3
,8,1,8,1,2,z,z,1,0.290590637363493,1,3,1
,9,1,9,2,1,a,a,1,0.437346293358132,1,3,1
,10,1,10,1,1,z,a,0,0.36593141593039,1,2,3
,11,1,11,1,2,a,a,1,0.325412885169499,1,3,1
,12,1,12,2,1,a,a,1,0.30055301671382,1,2,3
,13,1,13,2,1,a,z,0,0.380046683014371,1,3,4
,14,1,14,2,1,a,a,1,0.419583880691789,2,2,4
,15,1,15,1,1,z,a,0,0.748667804873548,2,2,4
,16,1,16,1,1,z,a,0,0.407715155160986,1,1,2
,17,1,17,2,1,a,a,1,0.412350460421294,1,1,4
,18,1,18,1,2,z,z,1,0.273946659872308,1,1,4
,19,1,19,2,1,z,a,0,0.316988780978136,1,1,3
,20,1,20,2,1,a,a,1,0.233487862511538,1,2,2
,21,1,21,1,2,z,a,0,0.270388829754665,1,2,3
,22,1,22,1,1,a,a,1,0.303241584799252,1,3,4
,23,1,23,2,1,a,a,1,0.317881936323829,1,3,2
,24,1,24,1,1,a,a,1,0.294804396107793,1,2,2
,25,1,25,2,1,z,a,0,0.384115375229158,1,2,2
,26,1,26,1,1,z,a,0,0.255688745062798,1,3,3
,27,1,27,2,2,z,z,1,0.34873163420707,1,1,1
,28,1,28,1,1,z,z,1,0.2871920960024,1,2,3
,29,1,29,1,2,a,a,1,0.264315942651592,1,3,2
,30,1,30,2,2,a,a,1,0.226096291211434,1,1,4
,31,1,31,2,1,a,a,1,0.345434355083853,1,2,3
,32,1,32,1,2,z,a,0,0.286276754108258,1,2,3
,33,1,33,1,1,a,a,1,0.315990381292067,1,3,3
,34,1,34,2,2,z,z,1,0.240249105030671,1,3,1
,35,1,35,2,1,z,z,1,0.327606520149857,1,1,3
,36,1,36,1,1,a,a,1,0.293293427675962,1,1,2
,37,1,37,1,1,a,a,1,0.301718669710681,1,1,3
,38,1,38,2,1,a,a,1,0.347307705669664,1,2,1
,39,1,39,1,1,z,a,0,0.272280953708105,2,3,2
,40,1,40,2,1,a,a,1,0.310254276148044,1,3,4
,41,1,41,1,1,a,a,1,0.309397529810667,1,2,4
,42,1,42,2,2,a,a,1,0.345700594945811,1,1,4
,43,1,43,2,2,a,a,1,0.340069165453315,2,3,4
,44,1,44,1,1,a,a,1,0.273139406810515,1,2,4
,45,1,45,2,1,a,a,1,0.234872537665069,2,3,1
,46,1,46,1,1,z,z,1,0.655107227037661,1,1,1
,47,1,47,1,2,z,a,0,0.321382308495231,1,1,3
,48,1,48,2,1,a,a,1,0.23901120305527,2,2,2
,49,2,1,2,2,a,a,1,0.364720251760446,1,1,1
,50,2,2,2,1,z,z,1,0.375307271024212,1,1,1
,51,2,3,1,1,a,a,1,0.369160997215658,1,1,1
,52,2,4,2,2,z,z,1,0.323321650270373,1,1,1
,53,2,5,1,2,a,a,1,0.309096018783748,1,2,3
,54,2,6,1,1,a,a,1,0.232966191484593,1,2,4
,55,2,7,2,2,z,z,1,0.279722018167377,1,3,1
,56,2,8,1,1,a,a,1,0.31581345689483,1,2,3
,57,2,9,2,2,z,a,0,0.2641742893029,1,2,1
,58,2,10,2,1,z,z,1,0.247461476246826,1,3,1
,59,2,11,1,1,z,a,0,0.386089419014752,1,3,3
,60,2,12,2,1,a,a,1,0.393899692338891,1,2,4
,61,2,13,1,1,a,a,1,0.373238791595213,2,3,1
,62,2,14,2,2,a,a,1,0.238609567750245,1,2,4
,63,2,15,1,1,a,a,1,0.42866618919652,1,1,2
,64,2,16,1,2,z,z,1,0.311312978039496,1,1,4
,65,2,17,1,2,z,z,1,0.272902749013156,1,2,1
,66,2,18,2,1,z,z,1,0.352664361824282,2,3,4
,67,2,19,1,1,a,a,1,0.345821768278256,1,1,1
,68,2,20,2,1,a,a,1,0.322229952784255,1,3,1
,69,2,21,2,2,z,a,0,0.285356292268261,2,2,4
,70,2,22,2,2,a,a,1,0.395388474222273,1,1,2
,71,2,23,1,1,a,p,0,1.50013795541599,1,3,2
,72,2,24,1,1,z,a,0,0.473367189872079,1,3,1
,73,2,25,2,1,z,z,1,0.443825367139652,2,3,2
,74,2,26,2,1,z,a,0,0.475484593654983,1,2,4
,75,2,27,2,2,z,z,1,0.357296822709031,1,3,4
,76,2,28,2,1,a,z,0,0.690428959205747,1,1,3
,77,2,29,1,1,z,z,1,0.634931019390933,1,2,1
,78,2,30,1,2,a,a,1,0.339552045566961,1,1,1
,79,2,31,2,1,z,z,1,0.365372767089866,1,1,4
,80,2,32,2,2,z,a,0,0.563994577387348,2,1,2
,81,2,33,2,2,a,a,1,0.415659686201252,1,3,3
,82,2,34,1,1,a,a,1,0.696113295271061,1,2,1
,83,2,35,1,1,z,z,1,0.554194900207222,2,3,1
,84,2,36,2,1,a,a,1,0.36951200151816,2,3,3
,85,2,37,1,1,z,a,0,0.509344850666821,1,1,2
,86,2,38,2,1,a,a,1,0.463952081277966,1,2,2
,87,2,39,1,1,a,a,1,0.371088392217644,1,3,1
,88,2,40,1,2,z,z,1,0.287312131607905,1,1,4
,89,2,41,1,1,a,a,1,0.523473202134483,1,2,1
,90,2,42,2,1,z,z,1,0.445586646557786,1,2,4
,91,2,43,1,1,a,a,1,0.327492742449977,1,3,4
,92,2,44,1,1,z,a,0,0.487634919001721,1,3,2
,93,2,45,2,1,z,z,1,0.437933386536315,1,2,1
,94,2,46,1,1,z,z,1,0.382817739970051,1,2,1
,95,2,47,2,1,z,z,1,0.538293322431855,1,1,1
,96,2,48,1,1,a,a,1,0.345664186053909,1,1,4
,97,3,1,2,1,a,a,1,0.591628916095942,1,1,3
,98,3,2,2,1,z,z,1,0.402336881146766,1,1,1
,99,3,3,1,1,z,a,0,0.495500943507068,1,2,2
,100,3,4,1,1,a,a,1,0.331715034437366,1,3,1
,101,3,5,1,1,z,a,0,0.347868629964069,2,2,3
,102,3,6,1,1,a,a,1,0.329923603916541,1,1,2
,103,3,7,1,1,a,a,1,0.313284177565947,1,3,4
,104,3,8,2,1,z,z,1,0.427936873864383,1,1,1
,105,3,9,2,1,a,a,1,0.370837512309663,1,3,3
,106,3,10,1,1,z,a,0,0.39185510633979,1,1,3
,107,3,11,1,2,z,z,1,0.302867256104946,2,1,1
,108,3,12,2,2,a,a,1,0.419618582818657,1,2,3
,109,3,13,1,1,z,z,1,0.375212266575545,1,3,1
,110,3,14,2,1,z,a,0,0.403917822870426,1,2,2
,111,3,15,2,1,z,a,0,0.296707328874618,1,3,3
,112,3,16,2,1,z,a,0,0.334563460433856,1,3,2
,113,3,17,1,2,z,a,0,0.263896102667786,1,2,4
,114,3,18,2,1,z,z,1,0.365073531633243,1,3,4
,115,3,19,2,1,z,a,0,0.381366504821926,2,1,2
,116,3,20,1,1,z,z,1,0.243024144205265,1,1,4
,117,3,21,1,1,a,a,1,0.415815561776981,1,2,3
,118,3,22,2,2,z,a,0,0.432990312459879,1,2,2
,119,3,23,1,1,a,z,0,0.454531284049153,2,3,3
,120,3,24,2,1,a,a,1,0.36064018192701,2,2,1
,121,3,25,1,1,a,a,1,0.427192198461853,1,2,2
,122,3,26,1,1,a,a,1,0.259615783928894,1,2,4
,123,3,27,2,1,z,a,0,0.314135235035792,1,1,3
,124,3,28,2,2,a,a,1,0.274715228471905,1,3,1
,125,3,29,1,1,z,a,0,0.347506816731766,1,1,2
,126,3,30,1,2,a,a,1,0.316788532072678,1,2,2
,127,3,31,2,1,z,a,0,0.325010111904703,2,1,3
,128,3,32,1,1,z,z,1,0.294212751905434,2,1,1
,129,3,33,2,1,a,a,1,0.372835449525155,1,3,1
,130,3,34,1,1,a,a,1,0.326017045066692,1,3,1
,131,3,35,1,2,a,a,1,0.244249530485831,1,3,1
,132,3,36,2,1,a,a,1,0.520267514162697,1,2,2
,133,3,37,2,1,a,a,1,0.372937280568294,1,1,3
,134,3,38,2,1,a,a,1,0.276368987979367,1,2,1
,135,3,39,1,1,z,a,0,0.301066154264845,1,1,3
,136,3,40,1,1,a,a,1,0.314660319359973,1,3,3
,137,3,41,2,1,a,a,1,0.270449131960049,1,2,4
,138,3,42,1,1,z,a,0,0.399385486380197,1,2,2
,139,3,43,1,1,a,a,1,0.406696844380349,1,3,4
,140,3,44,2,2,z,a,0,0.369913068134338,1,2,2
,141,3,45,2,1,z,z,1,0.372451449627988,1,1,4
,142,3,46,1,1,z,z,1,0.366275593522005,1,1,1
,143,3,47,2,1,a,a,1,0.40374658734072,1,3,1
,144,3,48,2,2,a,a,1,0.343161644646898,1,3,4
,145,4,1,1,2,a,a,1,0.38830751623027,1,3,2
,146,4,2,2,1,z,a,0,0.435796071542427,1,3,2
,147,4,3,1,1,z,z,1,0.27986082714051,1,3,1
,148,4,4,2,1,z,z,1,0.360576466307975,1,2,4
,149,4,5,1,1,z,z,1,0.336805450846441,1,3,1
,150,4,6,1,1,z,z,1,0.537348398240283,1,2,2
,151,4,7,2,2,z,a,0,0.267822003923357,2,3,3
,152,4,8,1,1,a,a,1,0.329796741716564,1,2,1
,153,4,9,2,1,z,a,0,0.367461157729849,1,1,2
,154,4,10,1,1,a,a,1,0.331030092434958,1,3,4
,155,4,11,2,1,z,z,1,0.229614299139939,1,2,4
,156,4,12,1,1,z,a,0,0.385619517066516,1,1,3
,157,4,13,2,1,z,a,0,0.277998854289763,1,3,2
,158,4,14,2,1,a,a,1,0.277051085606217,1,3,4
,159,4,15,1,1,z,z,1,0.299576803692617,1,1,4
,160,4,16,2,1,z,z,1,0.316674754372798,1,1,4
,161,4,17,1,1,a,a,1,0.32409875234589,1,1,4
,162,4,18,1,1,a,a,1,0.328734626527876,1,1,4
,163,4,19,2,1,a,a,1,0.342560898163356,1,2,2
,164,4,20,2,1,z,a,0,0.384770735050552,1,2,2
,165,4,21,2,2,a,a,1,0.330431052716449,1,1,2
,166,4,22,1,1,a,a,1,0.323842183453962,1,2,2
,167,4,23,1,1,z,a,0,0.3042769622989,1,2,2
,168,4,24,2,1,a,a,1,0.249549866886809,1,1,1
,169,4,25,2,1,z,a,0,0.322104228427634,1,2,3
,170,4,26,1,1,a,a,1,0.351348522352055,1,3,3
,171,4,27,2,2,a,a,1,0.25824760645628,1,3,2
,172,4,28,1,2,a,a,1,0.313322862028144,1,2,1
,173,4,29,2,2,z,a,0,0.495758081204258,1,3,2
,174,4,30,1,1,z,z,1,0.495723947882652,1,2,1
,175,4,31,1,1,a,a,1,0.429767557652667,2,2,2
,176,4,32,2,2,z,z,1,0.52553371724207,1,1,1
,177,4,33,1,1,z,z,1,0.373367929365486,1,3,4
,178,4,34,2,1,a,a,1,0.632571268943138,1,3,2
,179,4,35,2,1,a,a,1,0.380546736181714,1,3,2
,180,4,36,2,2,a,a,1,0.30567301530391,1,2,3
,181,4,37,2,1,z,a,0,0.481296360958368,1,1,3
,182,4,38,1,1,a,p,0,1.50019199994858,1,3,2
,183,4,39,2,1,z,a,0,0.524387406301685,1,2,2
,184,4,40,1,1,z,a,0,0.312537226709537,1,1,4
,185,4,41,1,1,a,z,0,0.219385679811239,1,2,2
,186,4,42,2,1,z,a,0,0.409717643400654,1,1,2
,187,4,43,2,1,z,z,1,0.35844597814139,1,1,1
,188,4,44,1,1,a,a,1,0.391062644310296,2,1,2
,189,4,45,1,1,a,a,1,0.291239170474,1,1,3
,190,4,46,1,1,a,a,1,0.235267346375622,1,3,3
,191,4,47,1,2,z,a,0,0.285636185435578,1,1,3
,192,4,48,2,2,a,a,1,0.281381466658786,1,2,4
,193,5,1,2,2,z,a,0,0.60386514372658,1,1,4
,194,5,2,1,1,z,a,0,0.484894013148732,1,1,3
,195,5,3,2,1,a,a,1,0.382498593418859,1,1,3
,196,5,4,1,1,a,a,1,0.29096382833086,1,3,4
,197,5,5,1,1,a,a,1,0.278138800873421,1,3,3
,198,5,6,2,2,z,z,1,0.416080094873905,1,3,1
,199,5,7,1,1,z,a,0,0.323021845892072,1,1,2
,200,5,8,1,1,a,a,1,0.321883499622345,1,2,4
,201,5,9,2,1,z,z,1,0.251244017505087,1,2,4
,202,5,10,1,1,z,a,0,0.449499463313259,1,2,4
,203,5,11,1,1,z,a,0,0.319892957806587,1,2,3
,204,5,12,1,1,z,a,0,0.249298986862414,1,1,3
,205,5,13,2,1,z,a,0,0.340120934415609,1,1,3
,206,5,14,2,1,z,a,0,0.438779892981984,1,2,4
,207,5,15,2,1,z,z,1,0.574986645253375,1,2,1
,208,5,16,2,2,z,z,1,0.412004007259384,1,1,4
,209,5,17,1,1,z,z,1,0.581372421351261,1,3,1
,210,5,18,1,2,a,a,1,0.392381328390911,1,2,3
,211,5,19,2,1,z,a,0,0.541323223849759,1,2,2
,212,5,20,2,1,a,a,1,0.542212396860123,1,3,1
,213,5,21,2,1,a,a,1,0.374927253345959,1,3,2
,214,5,22,1,1,z,a,0,0.377112354966812,1,3,3
,215,5,23,1,1,a,a,1,0.284523439011537,1,1,3
,216,5,24,2,1,z,a,0,0.311170755885541,1,3,2
,217,5,25,2,1,z,a,0,0.446739784092642,1,1,3
,218,5,26,2,1,z,z,1,0.478186815162189,2,1,1
,219,5,27,2,2,a,a,1,0.37371722701937,1,3,3
,220,5,28,2,1,z,a,0,0.572226966149174,1,3,2
,221,5,29,2,1,a,a,1,0.293708716519177,1,2,3
,222,5,30,1,2,a,a,1,0.323596992413513,1,3,1
,223,5,31,2,1,a,a,1,0.329294981900603,1,3,3
,224,5,32,1,2,z,a,0,0.309362258645706,1,1,3
